date,code,open,high,low,close,volume,amount,turnover,pct_change,is_limit_up,is_limit_down
2020-10-27,sh.601187,8.05,9.66,8.05,9.41,134661461,1225382298.16,51.025,40.2385,1,0
2020-10-28,sh.601187,8.95,8.95,8.47,8.47,49741526,427544725.35,18.8477,-9.9894,0,1
2020-10-29,sh.601187,7.7,8.03,7.62,7.79,97443920,759110152.7,36.9228,-8.0283,0,0
2020-10-30,sh.601187,7.68,7.94,7.58,7.61,66910363,517226082.84,25.3532,-2.3107,0,0
2020-11-02,sh.601187,7.58,7.73,7.43,7.46,49104188,369355760.58,18.6062,-1.9711,0,0
2020-11-03,sh.601187,7.49,8.21,7.35,8.09,105177784,835719366.96,39.8532,8.445,0,0
2020-11-04,sh.601187,8.05,8.29,7.82,8.12,82892501,667026414.31,31.4091,0.3708,0,0
2020-11-05,sh.601187,8.12,8.12,7.83,7.95,56733208,450999270.35,21.497,-2.0936,0,0
2020-11-06,sh.601187,7.9,8.28,7.76,8.28,64519421,516576956.53,24.4473,4.1509,0,0
2020-11-09,sh.601187,8.4,9.11,8.12,9.11,110836228,952475574.42,41.9973,10.0242,1,0
2020-11-10,sh.601187,9.6,10.02,8.87,8.92,154866084,1486316722.44,58.6808,-2.0856,0,0
2020-11-11,sh.601187,8.47,9.81,8.35,9.81,130854152,1171379848.45,49.5823,9.9776,1,0
2020-11-12,sh.601187,9.58,9.8,9.1,9.18,109031018,1023590675.05,41.3133,-6.422,0,0
2020-11-13,sh.601187,8.91,9.41,8.83,8.98,72681778,661408779.9,27.5401,-2.1786,0,0
2020-11-16,sh.601187,9.1,9.19,8.76,9.02,66366893,598627393.94,25.1473,0.4454,0,0
2020-11-17,sh.601187,8.91,9.5,8.65,9.21,89246904,806296859.9,33.8168,2.1064,0,0
2020-11-18,sh.601187,9.18,10.13,9.08,10.13,139460653,1385527972.62,52.8435,9.9891,1,0
2020-11-19,sh.601187,10.24,11.14,9.96,10.79,178779361,1891674717.56,67.7418,6.5153,0,0
2020-11-20,sh.601187,10.42,10.52,9.85,10.2,118166194,1199488313.66,44.7747,-5.468,0,0
2020-11-23,sh.601187,10.0,11.09,9.95,10.55,118086737,1236308147.87,44.7446,3.4314,0,0
