date,code,open,high,low,close,volume,amount,turnover,pct_change,is_limit_up,is_limit_down
2025-06-27,sz.300529,21.39,21.57,21.29,21.29,4500222,96312895.26,0.8781,-0.514,0,0
2025-06-30,sz.300529,21.28,21.62,21.17,21.57,5359185,115020375.95,1.0458,1.3152,0,0
2025-07-01,sz.300529,21.6,21.64,21.45,21.49,3898400,83960430.0,0.7607,-0.3709,0,0
2025-07-02,sz.300529,21.56,21.59,21.3,21.37,4045959,86532678.78,0.7909,-0.5584,0,0
2025-07-03,sz.300529,21.38,21.6,21.34,21.57,3958545,85152254.95,0.7738,0.9359,0,0
2025-07-04,sz.300529,21.62,23.6,21.59,23.19,31201191,714955338.7,6.0989,7.5104,0,0
2025-07-07,sz.300529,23.49,23.68,22.76,22.84,14967180,345623080.8,2.9256,-1.5093,0,0
2025-07-08,sz.300529,22.98,23.03,22.39,22.8,12644582,286743033.5,2.4716,-0.1751,0,0
2025-07-09,sz.300529,22.8,22.99,22.59,22.68,8777534,199880879.16,1.7157,-0.5263,0,0
2025-07-10,sz.300529,22.6,22.68,22.46,22.55,6645900,149833525.0,1.2991,-0.5732,0,0
2025-07-11,sz.300529,22.58,22.73,22.45,22.58,6923140,156523042.44,1.3533,0.133,0,0
2025-07-14,sz.300529,22.67,22.84,22.41,22.61,5990922,135409412.12,1.171,0.1329,0,0
2025-07-15,sz.300529,22.62,22.76,22.15,22.31,7530190,168540483.5,1.4719,-1.3268,0,0
2025-07-16,sz.300529,22.36,22.47,22.24,22.4,4842270,108227877.6,0.9465,0.4034,0,0
2025-07-17,sz.300529,22.41,22.66,22.35,22.62,5544738,124782209.62,1.0838,0.9821,0,0
2025-07-18,sz.300529,22.61,22.81,22.52,22.8,6328358,143461705.42,1.237,0.7958,0,0
2025-07-21,sz.300529,22.81,22.88,22.67,22.72,5861685,133393487.68,1.1458,-0.3509,0,0
2025-07-22,sz.300529,22.7,22.94,22.57,22.78,7084612,160842891.14,1.3848,0.2641,0,0
2025-07-23,sz.300529,22.83,23.29,22.52,22.59,12605574,288995955.23,2.464,-0.8341,0,0
2025-07-24,sz.300529,22.61,23.3,22.6,23.07,14986388,344480527.68,2.9294,2.1248,0,0
2025-07-25,sz.300529,23.22,24.7,23.11,24.11,27357187,657038862.91,5.3475,4.508,0,0
2025-07-28,sz.300529,23.98,24.24,23.41,23.55,15165528,358770564.12,2.9644,-2.3227,0,0
2025-07-29,sz.300529,23.62,24.2,23.26,24.15,15413477,366776291.92,3.0129,2.5478,0,0
2025-07-30,sz.300529,24.19,24.98,24.0,24.37,19041195,467831890.46,3.722,0.911,0,0
2025-07-31,sz.300529,24.3,24.39,23.6,23.67,12787302,306509194.41,2.4995,-2.8724,0,0
2025-08-01,sz.300529,23.67,24.09,23.5,23.61,7962700,189112465.25,1.5565,-0.2535,0,0
2025-08-04,sz.300529,23.56,23.81,23.22,23.78,7766672,182605878.45,1.5182,0.72,0,0
2025-08-05,sz.300529,23.83,23.91,23.45,23.53,8300380,196005264.92,1.6225,-1.0513,0,0
2025-08-06,sz.300529,23.57,23.65,23.27,23.33,8737085,204115392.18,1.7078,-0.85,0,0
2025-08-07,sz.300529,23.34,23.97,23.33,23.54,10044105,237583519.06,1.9633,0.9001,0,0
2025-08-08,sz.300529,23.6,23.71,23.28,23.31,8295000,194344040.0,1.6214,-0.9771,0,0
2025-08-11,sz.300529,23.33,23.83,23.31,23.72,8206090,193701708.5,1.604,1.7589,0,0
2025-08-12,sz.300529,23.66,24.31,23.55,23.93,11524400,276691122.0,2.2527,0.8853,0,0
2025-08-13,sz.300529,24.01,24.03,23.56,23.85,9349335,222313062.9,1.8275,-0.3343,0,0
2025-08-14,sz.300529,23.85,23.94,23.14,23.15,11329604,266040030.79,2.2146,-2.935,0,0
2025-08-15,sz.300529,23.16,23.53,23.16,23.45,7033985,164428159.64,1.3749,1.2959,0,0
2025-08-18,sz.300529,23.46,24.0,23.46,23.73,11681995,277672473.83,2.2835,1.194,0,0
2025-08-19,sz.300529,23.73,23.95,23.51,23.57,8423455,199699740.31,1.6465,-0.6743,0,0
2025-08-20,sz.300529,23.43,23.57,23.23,23.5,9173673,214318479.35,1.7932,-0.297,0,0
2025-08-21,sz.300529,23.5,23.95,23.48,23.65,10448010,247909243.57,2.0423,0.6383,0,0
