noise_level,banker_profit_rate,k_roi,k_best_roi,r_roi,r_best_roi
0.05,0.6293977762447773,-1.0,-1.0,-0.9024857791761298,7.666666666666667
0.1,0.6225523759228708,-1.0,-1.0,-0.8752867570385818,12.0
0.15,0.6096318320029382,-1.0,-1.0,-0.8278341153322234,0.0
0.2,0.6154978186148301,-1.0,-1.0,-0.8536330371144799,3.3333333333333335
0.3,0.6204068261294869,-0.7961583692669542,-0.6792103639728563,-0.9257900101936799,2.25
0.4,0.567112359491784,-0.7452229299363057,-0.5121951219512195,-0.7195528535006864,2.25
0.5,0.5640038823163325,-0.7986577181208053,-0.5121951219512195,-0.7025506376594148,1.1666666666666667
